SOC,OCV
0.12563,3.3349
0.12583,3.3352
0.12603,3.3355
0.12623,3.3358
0.12643,3.3361
0.12663,3.3364
0.12683,3.3367
0.12703,3.3371
0.12723,3.3373
0.12743,3.3377
0.12763,3.338
0.12783,3.3383
0.12803,3.3386
0.12823,3.3389
0.12843,3.3392
0.12863,3.3396
0.12883,3.3399
0.12903,3.3402
0.12923,3.3406
0.12943,3.3409
0.12963,3.3412
0.12983,3.3416
0.13003,3.3419
0.13023,3.3422
0.13043,3.3426
0.13063,3.3429
0.13083,3.3433
0.13103,3.3436
0.13123,3.3439
0.13143,3.3442
0.13163,3.3446
0.13183,3.3449
0.13203,3.3452
0.13223,3.3456
0.13243,3.346
0.13263,3.3463
0.13283,3.3466
0.13303,3.3469
0.13323,3.3473
0.13343,3.3477
0.13363,3.348
0.13383,3.3483
0.13403,3.3486
0.13423,3.349
0.13443,3.3493
0.13463,3.3497
0.13483,3.35
0.13503,3.3503
0.13523,3.3507
0.13543,3.351
0.13563,3.3513
0.13583,3.3517
0.13603,3.352
0.13623,3.3523
0.13643,3.3527
0.13663,3.353
0.13683,3.3534
0.13703,3.3537
0.13723,3.354
0.13743,3.3543
0.13763,3.3547
0.13783,3.355
0.13803,3.3553
0.13823,3.3557
0.13843,3.356
0.13863,3.3563
0.13883,3.3566
0.13903,3.357
0.13923,3.3573
0.13943,3.3576
0.13963,3.358
0.13983,3.3582
0.14003,3.3586
0.14023,3.3589
0.14043,3.3592
0.14063,3.3596
0.14083,3.3598
0.14103,3.3602
0.14123,3.3605
0.14143,3.3608
0.14163,3.3612
0.14183,3.3614
0.14203,3.3617
0.14223,3.3621
0.14243,3.3624
0.14263,3.3627
0.14283,3.363
0.14303,3.3633
0.14323,3.3636
0.14343,3.3639
0.14363,3.3642
0.14383,3.3646
0.14403,3.3649
0.14423,3.3651
0.14443,3.3655
0.14463,3.3658
0.14483,3.3661
0.14503,3.3664
0.14523,3.3667
0.14543,3.367
0.14563,3.3673
0.14583,3.3676
0.14603,3.3679
0.14623,3.3682
0.14643,3.3685
0.14663,3.3688
0.14683,3.3691
0.14703,3.3694
0.14723,3.3697
0.14743,3.3701
0.14763,3.3703
0.14783,3.3706
0.14803,3.3709
0.14823,3.3712
0.14843,3.3715
0.14863,3.3718
0.14883,3.3721
0.14903,3.3724
0.14923,3.3727
0.14943,3.373
0.14963,3.3733
0.14983,3.3736
0.15003,3.3739
0.15023,3.3742
0.15043,3.3745
0.15063,3.3748
0.15083,3.3751
0.15103,3.3754
0.15123,3.3757
0.15143,3.376
0.15163,3.3763
0.15183,3.3767
0.15203,3.3769
0.15223,3.3772
0.15243,3.3776
0.15263,3.3778
0.15283,3.3781
0.15303,3.3784
0.15323,3.3787
0.15343,3.379
0.15363,3.3794
0.15383,3.3797
0.15403,3.3799
0.15423,3.3802
0.15443,3.3806
0.15463,3.3809
0.15483,3.3812
0.15503,3.3815
0.15523,3.3818
0.15543,3.3821
0.15563,3.3824
0.15583,3.3827
0.15603,3.383
0.15623,3.3833
0.15643,3.3836
0.15663,3.384
0.15683,3.3843
0.15703,3.3846
0.15723,3.3849
0.15743,3.3852
0.15763,3.3855
0.15783,3.3858
0.15803,3.3861
0.15823,3.3864
0.15843,3.3867
0.15863,3.387
0.15883,3.3874
0.15903,3.3877
0.15923,3.388
0.15943,3.3883
0.15963,3.3886
0.15983,3.3889
0.16003,3.3892
0.16023,3.3895
0.16043,3.3899
0.16063,3.3902
0.16083,3.3905
0.16103,3.3908
0.16123,3.3912
0.16143,3.3914
0.16163,3.3918
0.16183,3.3921
0.16203,3.3924
0.16223,3.3927
0.16243,3.393
0.16263,3.3933
0.16283,3.3936
0.16303,3.3939
0.16323,3.3942
0.16343,3.3945
0.16363,3.3948
0.16383,3.3951
0.16403,3.3954
0.16423,3.3957
0.16443,3.3961
0.16463,3.3964
0.16483,3.3967
0.16503,3.397
0.16523,3.3973
0.16543,3.3976
0.16563,3.3979
0.16583,3.3982
0.16603,3.3985
0.16623,3.3988
0.16643,3.3991
0.16663,3.3994
0.16683,3.3997
0.16703,3.3999
0.16723,3.4003
0.16743,3.4006
0.16763,3.4009
0.16783,3.4012
